sep=,
type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value
HKQuantityTypeIdentifierStepCount,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x28383fed0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-08 12:15:06 +0000,2022-03-08 12:15:37 +0000,count,29.0
HKQuantityTypeIdentifierStepCount,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x28383fed0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-09 05:10:28 +0000,2022-03-09 05:10:39 +0000,count,17.0
HKQuantityTypeIdentifierStepCount,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x28383fed0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-09 05:53:26 +0000,2022-03-09 05:53:29 +0000,count,9.0
HKQuantityTypeIdentifierStepCount,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x28383fed0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-09 06:04:19 +0000,2022-03-09 06:04:21 +0000,count,16.0
HKQuantityTypeIdentifierStepCount,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x28383fed0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-09 06:39:41 +0000,2022-03-09 06:39:43 +0000,count,16.0
HKQuantityTypeIdentifierStepCount,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x28383fed0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-09 07:41:43 +0000,2022-03-09 07:42:45 +0000,count,38.0
HKQuantityTypeIdentifierStepCount,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x28383fed0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-09 07:58:53 +0000,2022-03-09 08:07:49 +0000,count,72.0
HKQuantityTypeIdentifierStepCount,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x28383fed0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-09 08:10:57 +0000,2022-03-09 08:20:59 +0000,count,856.0
HKQuantityTypeIdentifierStepCount,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x28383fed0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-09 08:20:59 +0000,2022-03-09 08:31:00 +0000,count,1039.0
HKQuantityTypeIdentifierStepCount,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x28383fed0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-09 08:31:00 +0000,2022-03-09 08:37:32 +0000,count,666.0
HKQuantityTypeIdentifierStepCount,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x28383fed0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-09 12:09:46 +0000,2022-03-09 12:10:02 +0000,count,28.0
HKQuantityTypeIdentifierStepCount,のiPhone,15.3.1,"iPhone12,8","<<HKDevice: 0x28383fed0>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone12,8, software:15.3.1>",2022-03-09 13:58:54 +0000,2022-03-09 13:58:57 +0000,count,11.0
