date;steps;duration [s];distance [m];calories [kcal];floors [min. high three meter];weekDayIndex
2022-03-08 00:00:00 +0000;29;17;21.0;1;1;3
2022-03-09 00:00:00 +0000;2768;1617;2027.3;85;2;4
2022-03-10 00:00:00 +0000;158;92;106.0;5;0;5
2022-03-11 00:00:00 +0000;2787;1628;1799.2;75;5;6
2022-03-12 00:00:00 +0000;32;19;23.4;1;0;7
2022-03-13 00:00:00 +0000;270;158;161.9;6;1;1
2022-03-14 00:00:00 +0000;206;120;133.5;5;0;2
2022-03-15 00:00:00 +0000;263;154;179.0;8;2;3
2022-03-16 00:00:00 +0000;3014;1760;1844.5;76;2;4
2022-03-17 00:00:00 +0000;2926;1709;1670.0;69;3;5
2022-03-18 00:00:00 +0000;165;96;116.4;4;1;6
2022-03-19 00:00:00 +0000;537;314;342.0;15;0;7
2022-03-20 00:00:00 +0000;408;238;261.7;12;3;1
2022-03-21 00:00:00 +0000;1;1;0.7;0;0;2
2022-03-22 00:00:00 +0000;120;70;85.4;3;1;3
2022-03-23 00:00:00 +0000;321;187;239.4;9;1;4
2022-03-24 00:00:00 +0000;563;329;403.8;16;2;5
2022-03-25 00:00:00 +0000;2740;1600;1626.1;67;3;6
2022-03-26 00:00:00 +0000;2973;1737;1793.7;74;3;7
2022-03-27 00:00:00 +0000;1805;1054;1045.7;44;2;1
2022-03-28 00:00:00 +0000;4810;2810;2743.1;115;4;2
2022-03-29 00:00:00 +0000;215;126;162.1;7;3;3
2022-03-30 00:00:00 +0000;5986;3496;3660.1;152;5;4
2022-03-31 00:00:00 +0000;284;166;185.2;6;2;5
2022-04-01 00:00:00 +0000;211;123;129.7;6;1;6
2022-04-02 00:00:00 +0000;75;44;47.9;2;0;7
2022-04-03 00:00:00 +0000;254;148;156.3;5;2;1
2022-04-04 00:00:00 +0000;55;32;36.0;2;1;2
2022-04-05 00:00:00 +0000;1098;641;877.4;36;1;3
2022-04-06 00:00:00 +0000;622;363;417.0;18;6;4
2022-04-07 00:00:00 +0000;499;291;345.6;14;2;5
2022-04-08 00:00:00 +0000;40;23;29.3;1;0;6
2022-04-09 00:00:00 +0000;1162;679;679.5;28;3;7
2022-04-10 00:00:00 +0000;3896;2276;2419.2;101;5;1
2022-04-11 00:00:00 +0000;1010;590;675.0;28;7;2
2022-04-12 00:00:00 +0000;10472;6117;6116.0;255;3;3
2022-04-13 00:00:00 +0000;11405;6662;8079.3;338;7;4
2022-04-14 00:00:00 +0000;14659;8562;10927.3;457;7;5
2022-04-15 00:00:00 +0000;11414;6633;8909.0;373;7;6
2022-04-16 00:00:00 +0000;10615;6200;7881.7;330;6;7
2022-04-17 00:00:00 +0000;11179;6530;8079.7;338;5;1
2022-04-18 00:00:00 +0000;10376;6061;6247.9;262;9;2
2022-04-22 00:00:00 +0000;10722;6263;7594.0;317;9;6
2022-04-23 00:00:00 +0000;10895;6364;7173.8;300;8;7
2022-04-24 00:00:00 +0000;543;3793;366.2;14;1;1
