date;steps;duration [s];distance [m];calories [kcal];floors [min. high three meter];hourIndex;weekDayIndex
2022-03-08 21:00:00 +0000;29;17;21.0;1;1;21;3
2022-03-09 14:00:00 +0000;26;15;18.6;1;0;14;4
2022-03-09 15:00:00 +0000;32;19;22.4;1;0;15;4
2022-03-09 16:00:00 +0000;47;27;31.8;1;0;16;4
2022-03-09 17:00:00 +0000;2624;1533;1930.9;81;1;17;4
2022-03-09 21:00:00 +0000;28;16;18.6;1;1;21;4
2022-03-09 22:00:00 +0000;11;6;5.1;0;0;22;4
2022-03-10 02:00:00 +0000;15;9;10.3;0;0;2;5
2022-03-10 18:00:00 +0000;29;17;21.7;1;0;18;5
2022-03-10 19:00:00 +0000;21;12;15.4;1;0;19;5
2022-03-10 22:00:00 +0000;29;17;18.2;1;0;22;5
2022-03-10 23:00:00 +0000;64;37;40.4;2;0;23;5
2022-03-11 04:00:00 +0000;18;11;15.8;1;0;4;6
2022-03-11 10:00:00 +0000;8;5;6.6;0;0;10;6
2022-03-11 15:00:00 +0000;61;36;44.2;2;0;15;6
2022-03-11 16:00:00 +0000;32;19;22.7;1;1;16;6
2022-03-11 17:00:00 +0000;2558;1494;1644.4;69;3;17;6
2022-03-11 18:00:00 +0000;16;9;6.9;0;0;18;6
2022-03-11 19:00:00 +0000;59;34;34.8;1;1;19;6
2022-03-11 23:00:00 +0000;35;20;23.8;1;0;23;6
2022-03-12 02:00:00 +0000;18;11;13.1;1;0;2;7
2022-03-12 06:00:00 +0000;9;5;6.3;0;0;6;7
2022-03-12 21:00:00 +0000;5;3;4.0;0;0;21;7
2022-03-13 03:00:00 +0000;38;22;23.8;1;0;3;1
2022-03-13 04:00:00 +0000;5;3;2.4;0;0;4;1
2022-03-13 10:00:00 +0000;144;84;97.3;4;1;10;1
2022-03-13 11:00:00 +0000;11;6;7.5;0;0;11;1
2022-03-13 17:00:00 +0000;27;16;11.5;0;0;17;1
