日付,歩数,距離
2022-03-08,29,21
2022-03-09,2768,2027
2022-03-10,158,106
2022-03-11,2787,1799
2022-03-12,32,23
2022-03-13,270,161
2022-03-14,206,133
2022-03-15,263,179
2022-03-16,3014,1844
2022-03-17,2926,1670
2022-03-18,165,116
2022-03-19,537,342
2022-03-20,408,261
2022-03-21,1,0
2022-03-22,120,85
2022-03-23,321,239
2022-03-24,563,403
2022-03-25,2740,1626
2022-03-26,2973,1793
2022-03-27,1805,1045
2022-03-28,4810,2743
2022-03-29,215,162
2022-03-30,5986,3660
2022-03-31,284,185
2022-04-01,211,129
2022-04-02,75,48
2022-04-03,254,156
2022-04-04,55,36
2022-04-05,1098,877
2022-04-06,622,417
2022-04-07,499,345
2022-04-08,40,29
2022-04-09,1162,679
2022-04-10,3896,2419
2022-04-11,1010,675
2022-04-12,10472,6116
2022-04-13,11405,8079
2022-04-14,14659,10927
2022-04-15,11414,8909
2022-04-16,10616,7881
2022-04-17,11179,8079
2022-04-18,10376,7052
2022-04-19,10629,7580
2022-04-20,10768,7301
2022-04-21,10504,7121
2022-04-22,10860,7628
2022-04-23,10895,7424
2022-04-24,10691,7112
2022-04-25,25,17
2022-04-26,10067,6376
2022-04-27,9700,5853
2022-04-28,22,8
2022-04-30,2,1
